condition	speaker	system	text_index	seed_arm	readout	clone_path	cos_own_event	cos_other_event	cos_own_event_matched	cos_other_event_matched	cos_prompt
flat	p229	seedvc	2	B	wavlmsv	exp211/clones/flat/seedvc__mic1__seedB/p229_t2.wav	0.75212404918227449	0.74700699777354052	0.79090956873334362	0.7374797858466412	0.76995762766430209
flat	p229	seedvc	3	B	ecapa	exp211/clones/flat/seedvc__mic1__seedB/p229_t3.wav	0.51775849263367446	0.4371381599387032	0.60893669654812899	0.45543656015485845	0.62165255544628628
flat	p229	seedvc	3	B	wavlmsv	exp211/clones/flat/seedvc__mic1__seedB/p229_t3.wav	0.76853256798139513	0.759400859024427	0.78855673172808449	0.73763744082414706	0.76048707500391699
flat	p231	f5	0	A	ecapa	exp211/clones/flat/f5__mic1__seedA/p231_t0.wav	0.68853594505845661	0.60479762894853317	0.81618688441629561	0.7204771145513178	0.81841425416059954
flat	p231	f5	0	A	wavlmsv	exp211/clones/flat/f5__mic1__seedA/p231_t0.wav	0.96345103120912956	0.97127196807183924	0.95729076481441766	0.97561794783403966	0.97168749452171199
flat	p231	f5	1	A	ecapa	exp211/clones/flat/f5__mic1__seedA/p231_t1.wav	0.64997839226364795	0.59279753874862018	0.74963635805864792	0.68292029443464974	0.76726559461703658
flat	p231	f5	1	A	wavlmsv	exp211/clones/flat/f5__mic1__seedA/p231_t1.wav	0.95856410462097519	0.96832938428471427	0.96152045200835046	0.96819310767124567	0.97196471638330473
flat	p231	f5	2	A	ecapa	exp211/clones/flat/f5__mic1__seedA/p231_t2.wav	0.68809618428069874	0.61854758267334042	0.77532229952254594	0.68468288762982676	0.79563278021112016
flat	p231	f5	2	A	wavlmsv	exp211/clones/flat/f5__mic1__seedA/p231_t2.wav	0.96463663922223786	0.96440039012332623	0.95638044714508386	0.94701141500966834	0.95319370637174838
flat	p231	f5	3	A	ecapa	exp211/clones/flat/f5__mic1__seedA/p231_t3.wav	0.65017326841804768	0.56314881983369447	0.79786005842108532	0.68025864955972026	0.80562579731773609
flat	p231	f5	3	A	wavlmsv	exp211/clones/flat/f5__mic1__seedA/p231_t3.wav	0.96469163361912824	0.96341013760428651	0.96219306497527302	0.94819527572433027	0.96329112809141537
flat	p231	xtts	0	A	ecapa	exp211/clones/flat/xtts__mic1__seedA/p231_t0.wav	0.39605836453817167	0.39965792382658594	0.45340354768687974	0.48707459141251497	0.40816297778083399
flat	p231	xtts	0	A	wavlmsv	exp211/clones/flat/xtts__mic1__seedA/p231_t0.wav	0.86023003559352285	0.88771133558720816	0.86638329078626186	0.85547675927712541	0.86184258497837973
flat	p231	xtts	1	A	ecapa	exp211/clones/flat/xtts__mic1__seedA/p231_t1.wav	0.40772535335322457	0.40983580017518406	0.41668808423779025	0.42274967969532617	0.37451662380644873
flat	p231	xtts	1	A	wavlmsv	exp211/clones/flat/xtts__mic1__seedA/p231_t1.wav	0.8700183039875049	0.88834704470823356	0.88540164814793698	0.86069297785481003	0.87420636343640412
flat	p231	xtts	2	A	ecapa	exp211/clones/flat/xtts__mic1__seedA/p231_t2.wav	0.60169703162949162	0.53845886141637178	0.61956960941772676	0.54085871878140901	0.57175528380845808
flat	p231	xtts	2	A	wavlmsv	exp211/clones/flat/xtts__mic1__seedA/p231_t2.wav	0.88638649908898692	0.9245737322142471	0.89791789284806511	0.91815111348780776	0.92773379875249706
flat	p231	xtts	3	A	ecapa	exp211/clones/flat/xtts__mic1__seedA/p231_t3.wav	0.4115109183983825	0.33871633333730677	0.51620933476150221	0.44415228829779291	0.47166570626880727
flat	p231	xtts	3	A	wavlmsv	exp211/clones/flat/xtts__mic1__seedA/p231_t3.wav	0.83187352592606556	0.85279740123843573	0.84476807777373508	0.82691696131792425	0.83839171766827092
flat	p231	cosy	0	A	ecapa	exp211/clones/flat/cosy__mic1__seedA/p231_t0.wav	0.6555027147454906	0.59876577401653164	0.75983230725754858	0.63518050782304014	0.73319479128249554
flat	p231	cosy	0	A	wavlmsv	exp211/clones/flat/cosy__mic1__seedA/p231_t0.wav	0.95917465055864926	0.9598868693970275	0.9546456122176521	0.96122464539756347	0.96026419463708368
flat	p231	cosy	1	A	ecapa	exp211/clones/flat/cosy__mic1__seedA/p231_t1.wav	0.67721053389489327	0.66515840529892389	0.75111796827630251	0.7137640405066954	0.75055474989329751
flat	p231	cosy	1	A	wavlmsv	exp211/clones/flat/cosy__mic1__seedA/p231_t1.wav	0.91706502753467656	0.9419070757948278	0.92498832523785057	0.94727387284145681	0.94612369591206968
