speaker	gen1_system	gen1_text_index	gen2_system	gen2_text_index	seed_arm	readout	clone_path	cos_own_event	cos_other_event
p257	cosy	2	seedvc	3	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p257_t3.wav	0.84523686532860587	0.86000461817513796
p257	cosy	3	seedvc	0	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p257_t0.wav	0.48496304395509843	0.47586515325355772
p257	cosy	3	seedvc	0	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p257_t0.wav	0.86566313670485118	0.82839287434776665
p257	cosy	3	seedvc	0	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p257_t0.wav	0.51730008795903815	0.44341078825642066
p257	cosy	3	seedvc	0	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p257_t0.wav	0.86995741967666107	0.89297351557213078
p257	seedvc	0	f5	1	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p257_t1.wav	0.50433565383188239	0.46428993488379272
p257	seedvc	0	f5	1	A	wavlmsv	exp210/clones/f5__from_seedvc__seedA/p257_t1.wav	0.87287986982783794	0.8444549690162293
p257	seedvc	0	f5	1	B	ecapa	exp210/clones/f5__from_seedvc__seedB/p257_t1.wav	0.52374958907525815	0.46994588090488465
p257	seedvc	0	f5	1	B	wavlmsv	exp210/clones/f5__from_seedvc__seedB/p257_t1.wav	0.84238234203307938	0.8690255292589717
p257	seedvc	1	f5	2	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p257_t2.wav	0.54579882277497238	0.52363619140937945
p257	seedvc	1	f5	2	A	wavlmsv	exp210/clones/f5__from_seedvc__seedA/p257_t2.wav	0.87490894752057824	0.85080222376414638
p257	seedvc	1	f5	2	B	ecapa	exp210/clones/f5__from_seedvc__seedB/p257_t2.wav	0.59045470239079967	0.54644274665565407
p257	seedvc	1	f5	2	B	wavlmsv	exp210/clones/f5__from_seedvc__seedB/p257_t2.wav	0.82323792932841777	0.84255781377960548
p257	seedvc	2	f5	3	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p257_t3.wav	0.536657249793284	0.45746314876464483
