speaker	direction	readout	query_system	query_text_index	query_prompt_mic	query_seed_arm	query_clone_sha256	candidate_system	candidate_text_index	candidate_prompt_mic	own_seed_arm	own_clone_sha256	other_seed_arm	other_clone_sha256	cos_own_event	cos_other_event
p229	primary_mic1_to_mic2	ecapa	xtts	1	mic1	A	f5b503720c29fe48	f5	3	mic2	A	c0c296bcd3de7dcb	B	617fab3410fcc9bc	0.50918338499358307	0.42972727774387681
p229	primary_mic1_to_mic2	wavlm	xtts	1	mic1	A	f5b503720c29fe48	f5	3	mic2	A	c0c296bcd3de7dcb	B	617fab3410fcc9bc	0.95279810639905138	0.84181227495537936
p229	primary_mic1_to_mic2	ecapa	xtts	1	mic1	A	f5b503720c29fe48	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.56984873686070681	0.47321383313737425
p229	primary_mic1_to_mic2	wavlm	xtts	1	mic1	A	f5b503720c29fe48	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.9499795033727666	0.9495951481958268
p229	primary_mic1_to_mic2	ecapa	xtts	1	mic1	A	f5b503720c29fe48	cosy	2	mic2	A	b95d2de7be48322e	B	b04a01617a9c889a	0.55417434520838493	0.53016111990756065
p229	primary_mic1_to_mic2	wavlm	xtts	1	mic1	A	f5b503720c29fe48	cosy	2	mic2	A	b95d2de7be48322e	B	b04a01617a9c889a	0.96917543714093135	0.96607867357496913
p229	primary_mic1_to_mic2	ecapa	xtts	1	mic1	A	f5b503720c29fe48	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.47660676580841999	0.49625976338761929
p229	primary_mic1_to_mic2	wavlm	xtts	1	mic1	A	f5b503720c29fe48	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.91538544967589464	0.89783397462824199
p229	primary_mic1_to_mic2	ecapa	xtts	1	mic1	A	f5b503720c29fe48	seedvc	0	mic2	A	d756b4a6f616edf6	B	b07e16abd8c093bb	0.46128495638397227	0.42680706435098914
p229	primary_mic1_to_mic2	wavlm	xtts	1	mic1	A	f5b503720c29fe48	seedvc	0	mic2	A	d756b4a6f616edf6	B	b07e16abd8c093bb	0.81432145513074428	0.83855623611611874
p229	primary_mic1_to_mic2	ecapa	xtts	1	mic1	A	f5b503720c29fe48	seedvc	2	mic2	A	2231bd1964b29cd8	B	ff750a1108f05305	0.421590176622613	0.34558547911101811
p229	primary_mic1_to_mic2	wavlm	xtts	1	mic1	A	f5b503720c29fe48	seedvc	2	mic2	A	2231bd1964b29cd8	B	ff750a1108f05305	0.78710220184200952	0.79766813517198953
